text,created_at
“Why did the Democrats run if they didn’t want to do things?” @SenRickScott,06-11-2019 13:58:26
Good day in the Stock Market. People have no idea the tremendous potential our Country has for GROWTH - and many other things!,06-11-2019 13:55:01
....If Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency and subsidize companies to lessen effect of 25% Tariff. So far little effect to consumer. Companies will relocate to U.S.,06-11-2019 13:14:13
...Companies to come to the U.S.A and to get companies that have left us for other lands to come back home. We stupidly lost 30% of our auto business to Mexico. If the Tariffs went on at the higher level they would all come back and pass. But very happy with the deal I made...,06-11-2019 13:12:17
Maria Dagan Steve Stuart V - When you are the big “piggy bank” that other countries have been ripping off for years (to a level that is not to be believed) Tariffs are a great negotiating tool a great revenue producers and  most importantly a powerful way to get......,06-11-2019 12:50:43
This is because the Euro and other currencies are devalued against the dollar putting the U.S. at a big disadvantage. The Fed Interest rate way too high added to ridiculous quantitative tightening! They don’t have a clue! https://t.co/0CpnUzJqB9,06-11-2019 12:47:09
The United States has VERY LOW INFLATION a beautiful thing!,06-11-2019 12:10:26
This is because the Euro and other currencies are devalued against the dollar putting the U.S. at a big disadvantage. The Fed Interest rate way to high added to ridiculous quantitative tightening! They don’t have a clue! https://t.co/0CpnUzJqB9,06-11-2019 12:08:30
RT @bopinion: European landmarks have a question they desperately need answering: How do you stop the tourists from coming? https://t.co/7R…,06-11-2019 11:57:19
Sad when you think about it but Mexico right now is doing more for the United States at the Border than the Democrats in Congress! @foxandfriends,06-11-2019 11:54:41
PRESIDENTIAL HARASSMENT!,06-11-2019 11:51:43
....investigation in the Senate. They can talk to John Dean until the cows come home we’re not doing anything in the Senate regarding the Mueller Report. We are going to harden our Infrastructure against 2020!” @LindseyGrahamSC,06-11-2019 11:49:38
“Mueller has spoken. He found No Collusion between the Trump Campaign and the Russians. The bottom line is what the Democrat House is doing is trying to destroy the Trump Presidency (which has been a tremendous success) and I can assure you that we’re done with the Mueller......,06-11-2019 11:49:37
“Jerry Nadler’s Trump Bashing Show Is A Bust.” Headline New York Post. @foxandfriends  The Greatest Witch Hunt of all time continues. All crimes were by the other side but the Committee refuses to even take a look. Deleting 33000 Emails is the real Obstruction - and much more!,06-11-2019 11:25:08
New book just out “The Real Deal My Decade Fighting Battles and Winning Wars With Trump” is really wonderful. It is written by two people who are very smart  and  know me well George Sorial  and  Damian Bates as opposed to all the books where the author has no clue who I am. ENJOY!,06-11-2019 11:14:32
#AmericaFIRST #MAGA🇺🇸 https://t.co/Ae51wFELD0,06-11-2019 03:41:17
https://t.co/RRcP8ZDy1e,06-11-2019 02:23:54
https://t.co/V8TxJ3KVLZ,06-11-2019 02:21:55
Despite the Phony Witch Hunt we will continue to MAKE AMERICA GREAT AGAIN! Thank you!! https://t.co/MXuiolM745,06-10-2019 23:01:02
Congratulations to the 2019 Indianapolis 500 Winner @IMS @SimonPagenaud and @Team_Penske! @IndyCar🏆🏁 https://t.co/uxhfbhJ2p0,06-10-2019 22:53:08
I have been briefed on the helicopter crash in New York City. Phenomenal job by our GREAT First Responders who are currently on the scene. THANK YOU for all you do 24/7/365! The Trump Administration stands ready should you need anything at all.,06-10-2019 18:52:10
Can’t believe they are bringing in John Dean the disgraced Nixon White House Counsel who is a paid CNN contributor. No Collusion - No Obstruction! Democrats just want a do-over which they’ll never get!,06-10-2019 18:17:37
Thank you @MarkLevinShow and John Eastman! https://t.co/PsoyEVynjT,06-10-2019 15:43:11
RT @VP: .@POTUS’ strong stand got Mexico to do things they have never done before: 6000 National Guard at their southern border immigrati…,06-10-2019 15:36:00
https://t.co/2O43Na2Nmr,06-10-2019 13:33:24
https://t.co/TwLPmiAB78,06-10-2019 13:33:13
When will the Failing New York Times admit that their front page story on the  the new Mexico deal at the Border is a FRAUD and nothing more than a badly reported “hit job” on me something that has been going on since the first day I announced for the presidency! Sick Journalism,06-10-2019 11:09:08
We have fully signed and documented another very important part of the Immigration and Security deal with Mexico one that the U.S. has been asking about getting for many years. It will be revealed in the not too distant future and will need a vote by Mexico’s Legislative body!..,06-10-2019 10:31:43
....We do not anticipate a problem with the vote but if for any reason the approval is not forthcoming Tariffs will be reinstated!,06-10-2019 10:31:43
RT @realDonaldTrump: Twitter should let the banned Conservative Voices back onto their platform without restriction. It’s called Freedom o…,06-10-2019 10:04:30
RT @realDonaldTrump: If President Obama made the deals that I have made both at the Border and for the Economy the Corrupt Media would be…,06-10-2019 10:03:29
RT @realDonaldTrump: For two years all the Democrats talked about was the Mueller Report because they knew that it was loaded up with 13 A…,06-10-2019 10:02:43
RT @realDonaldTrump: ....No Obstruction. The Dems were devastated - after all this time and money spent ($40000000) the Mueller Report w…,06-10-2019 10:02:33
RT @realDonaldTrump: The Failing @nytimes story on Mexico and Illegal Immigration through our Southern Border has now been proven shockingl…,06-10-2019 10:02:01
Now with our new deal Mexico is doing more for the USA on Illegal Immigration than the Democrats. In fact the Democrats are doing NOTHING they want Open Borderswhich means Illigal Immigration Drugs and Crime.,06-10-2019 10:00:46
RT @larryelder: The Trump-hating media/dems now face a YUGE dilemma--how NOT to give @realDonaldTrump credit.#MexicoCavesAfterTariffThrea…,06-09-2019 23:51:44
RT @BreitbartNews: .@senronjohnson: "I called the Mexican ambassador and said regardless of what you read in the press understand if the p…,06-09-2019 23:41:02
RT @mitchellvii: Next we get to watch the Democrat Civil War between the Socialists and the Establishment during the debates in a race to s…,06-09-2019 23:35:53
RT @mitchellvii: Trump wins historic landslide election.Democrats - "Russia did it."Trump sets economic records.Democrats - "Obama di…,06-09-2019 23:35:39
RT @charliekirk11: It’s amazing to see Democrats within a span of 2 days go from being against Trump’s tariffs on Mexico to now being again…,06-09-2019 23:29:33
RT @RealCandaceO: Black America has been destroyed by liberal policies a liberal media and a liberal stranglehold on culture. Democrats…,06-09-2019 23:26:28
RT @TheRightMelissa: @realDonaldTrump For the few conservatives they have left on twitter is engaged in shadow banning of conservative con…,06-09-2019 23:23:27
RT @SecAzar: I’m pleased to announce that as a result of discussions between the Trump Administration and Gilead Sciences Inc. Gilead has…,06-09-2019 23:20:30
RT @SecAzar: The agreement will provide pre-exposure prophylaxis (PrEP) to treat individuals who are at risk for HIV and who are uninsured…,06-09-2019 23:20:13
RT @SecAzar: Under @POTUS’s leadership @HHSgov worked with Gilead to secure preventative medication for uninsured individuals at risk for…,06-09-2019 23:20:10
RT @SecAzar: The majority of Americans who are at risk and who could protect themselves with PrEP are still not receiving the medication. T…,06-09-2019 23:20:06
RT @SecAzar: Read more about the announcement here: https://t.co/fKZBchzJCh #HIV #EndHIVEpidemic,06-09-2019 23:20:04
The Failing @nytimes story on Mexico and Illegal Immigration through our Southern Border has now been proven shockingly false and untrue bad reporting and the paper is embarrassed by it. The only problem is that they knew it was Fake News before it went out. Corrupt Media!,06-09-2019 22:57:11
For two years all the Democrats talked about was the Mueller Report because they knew that it was loaded up with 13 Angry Democrat Trump Haters later increased to 18. But despite the bias when the Report came out the findings were No Collusion and facts that led to........,06-09-2019 22:50:57
....No Obstruction. The Dems were devastated - after all this time and money spent ($40000000) the Mueller Report was a disaster for them. But they want a Redo or Do Over. They are even bringing in @CNN sleazebag attorney John Dean. Sorry no Do Overs - Go back to work!,06-09-2019 22:50:57
RT @RepDougCollins: Our Border Patrol agents are superheroes dealing with the border crisis every day. They are doing their job and it's t…,06-09-2019 13:36:36
If President Obama made the deals that I have made both at the Border and for the Economy the Corrupt Media would be hailing them as Incredible  and  a National Holiday would be immediately declared. With me despite our record setting Economy and all that I have done no credit!,06-09-2019 13:26:08
Twitter should let the banned Conservative Voices back onto their platform without restriction. It’s called Freedom of Speech remember. You are making a Giant Mistake!,06-09-2019 12:45:21
Another false report in the Failing  @nytimes. We have been trying to get some of these Border Actions for a long time as have other administrations but were not able to get them or get them in full until our signed agreement with Mexico. Additionally and for many years....,06-09-2019 12:26:37
.....Mexico was not being cooperative on the Border in things we had or didn’t have and now I have full confidence especially after speaking to their President yesterday that they will be very cooperative and want to get the job properly done. Importantly some things.....,06-09-2019 12:26:37
.....not mentioned in yesterday press release one in particular were agreed upon. That will be announced at the appropriate time. There is now going to be great cooperation between Mexico  and  the USA something that didn’t exist for decades. However if for some unknown reason...,06-09-2019 12:26:37
.....there is not we can always go back to our previous very profitable position of Tariffs - But I don’t believe that will be necessary. The Failing @nytimes  and  ratings challenged @CNN will do anything possible to see our Country fail! They are truly The Enemy of the People!,06-09-2019 12:26:37
RT @realDonaldTrump: I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs s…,06-09-2019 04:10:47
RT @realDonaldTrump: ....stem the tide of Migration through Mexico and to our Southern Border. This is being done to greatly reduce or el…,06-09-2019 04:10:44
RT @realDonaldTrump: MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!,06-09-2019 04:09:51
I know it is not at all “Presidential” to hit back at the Corrupt Media or people who work for the Corrupt Media when they make false statements about me or the Trump Administration. Problem is if you don’t hit back people believe the Fake News is true. So we’ll hit back!,06-09-2019 04:08:26
Little @DonnyDeutsch whose show like his previous shoebiz tries is a disaster has been saying that I had been a friend of his. This is false. He  and  separately @ErinBurnett used to BEG me to be on episodes of the Apprentice (both were bad) but that was it. Hardly knew him..,06-09-2019 03:54:08
....other than to know he was and is a total Loser. When he makes statements about me they are made up he knows nothing!,06-09-2019 03:54:08
Just watched the Great @Rick24Barry Basketball Hall of Famer on the @marklevinshow @FoxNews. A wonderful interview of a very smart and interesting guy by the man Mark Levin who has the number one bestselling book Unfreedom of the Press. Two Winners!,06-09-2019 00:24:14
Just watched the Great @RickBarry44 Backetball Hall of Famer on the @marklevinshow @FoxNews. A wonderful interview of a very smart and interesting guy by the man Mark Levin who has the number one bestselling book Unfreedom of the Press. Two Winners!,06-08-2019 23:44:39
Watched MSNBC this morning just to see what the opposition was saying about events of the past week. Such lies almost everything they were saying was the opposite of the truth. Fake News! No wonder their ratings along with CNN are WAY DOWN. The hatred Comcast has is amazing!,06-08-2019 23:25:11
I would like to thank the President of Mexico Andres Manuel Lopez Obrador and his foreign minister Marcelo Ebrard together with all of the many representatives of both the United States and Mexico for working so long and hard to get our agreement on immigration completed!,06-08-2019 14:20:59
Everyone very excited about the new deal with Mexico!,06-08-2019 13:47:29
Nervous Nancy Pelosi  and  the Democrat House are getting nothing done. Perhaps they could lead the way with the USMCA the spectacular  and  very popular new Trade Deal that replaces NAFTA the worst Trade Deal in the history of the U.S.A. Great for our Farmers Manufacturers  and  Unions!,06-08-2019 13:43:35
MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!,06-08-2019 12:03:41
Mexico will try very hard and if they do that this will be a very successful agreement for both the United States and Mexico!,06-08-2019 11:02:17
Brandon Judd National Border Patrol Council: “That’s going to be a huge deal because Mexico will be using their strong Immigration Laws - A game changer. People no longer will be released into the U.S.” Also 6000 Mexican Troops at their Southern Border. Currently there are few!,06-08-2019 10:55:26
While the reviews and reporting on our Border Immigration Agreement with Mexico have been very good there has nevertheless been much false reporting (surprise!) by the Fake and Corrupt News Media such as Comcast/NBC CNN @nytimes  and  @washingtonpost. These “Fakers” are Bad News!,06-08-2019 10:47:38
I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs scheduled to be implemented by the U.S. on Monday against Mexico are hereby indefinitely suspended. Mexico in turn has agreed to take strong measures to....,06-08-2019 00:31:07
....stem the tide of Migration through Mexico and to our Southern Border. This is being done to greatly reduce or eliminate Illegal Immigration coming from Mexico and into the United States. Details of the agreement will be released shortly by the State Department. Thank you!,06-08-2019 00:31:07
I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs scheduled to be implemented by the U.S. on Monday against Mexico are hereby indefinitely suspended. Mexico in turn has agreed to take strong measures to......,06-08-2019 00:25:20
....stem the tide of Migration through Mexico and to our Southern Border. This is being done to greatly reduce or eliminate Illegal Immigration coming from Mexico and into the United States. Details of the agreement will be released shortly be the State Department. Thank you!,06-08-2019 00:25:20
Dow Jones has best week of the year!,06-07-2019 21:43:41
Heading back to D.C. Many great things are happening for our Country!,06-07-2019 17:43:38
For all of the money we are spending NASA should NOT be talking about going to the Moon - We did that 50 years ago. They should be focused on the much bigger things we are doing including Mars (of which the Moon is a part) Defense and Science!,06-07-2019 17:38:01
Democrats are incapable of doing a good and solid Immigration Bill!,06-07-2019 17:27:31
If we are able to make the deal with Mexico  and  there is a good chance that we will they will begin purchasing Farm  and  Agricultural products at very high levels starting immediately. If we are unable to make the deal Mexico will begin paying Tariffs at the 5% level on Monday!,06-07-2019 17:16:41
...and have no intention of doing anything other than going on a fishing expedition to see if they can find anything on me - both illegal  and  unprecedented in U.S. history. There was no Collusion - Investigate the Investigators! Go to work on Drug Price Reductions  and  Infrastructure!,06-07-2019 16:57:48
Nervous Nancy Pelosi is a disgrace to herself and her family for having made such a disgusting statement especially since I was with foreign leaders overseas. There is no evidence for such a thing to have been said. Nervous Nancy  and  Dems are getting Zero work done in Congress....,06-07-2019 16:57:47
....and have no intention of doing anything other going on a fishing expedition to see if they can find anything on me - both illegal  and  unprecedented in U.S. history. There was no Collusion - Investigate the Investigators! Go to work on Drug Price Reductions  and  Infrastructure!,06-07-2019 16:44:11
Nervous Nancy Pelosi is a disgrace to herself and her family for having made such a disgusting statement especially since I was with foreign leaders overseas. There is no evidence for such a thing to have been said. Nervous Nancy  and  Dems are getting Zero work done in Congress...,06-07-2019 16:44:10
China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking in Billions!,06-07-2019 16:36:55
HAPPY BIRTHDAY to our great @VP Mike Pence! https://t.co/k2fmu5bR5R,06-07-2019 14:44:50
https://t.co/xrrzYhPu0i,06-07-2019 11:29:30
https://t.co/lNh7hQiQTN,06-07-2019 11:02:16
#DDay75thAnniversary #DDay75 https://t.co/c8OTeHVScr,06-07-2019 07:43:36
“Mueller’s report was pure political garbage!” @SeanHannity https://t.co/lRjtoPTiO8,06-07-2019 07:01:43
John Solomon: Factual errors and major omissions in the Mueller Report show that it is totally biased against Trump.,06-07-2019 06:49:32
RT @IngrahamAngle: For my full interview with ⁦@realDonaldTrump from Normandy⁩ tune in tonight #IngrahamAngle ⁦@FoxNews⁩ 10pET https://t.c…,06-06-2019 19:32:42
#DDay75thAnniversary https://t.co/GIsoLML4NP,06-06-2019 19:04:14
Just signed Disaster Aid Bill to help Americans who have been hit by recent catastrophic storms. So important for our GREAT American farmers and ranchers. Help for GA FL IA NE NC and CA. Puerto Rico should love President Trump. Without me they would have been shut out! https://t.co/HXvYYdcNW5,06-06-2019 18:06:50
To the men who sit behind me and to the boys who rest in the field before me: your example will never grow old. Your legend will never tire and your spirit - brave unyielding and true - will NEVER DIE! #DDay75thAnniversary https://t.co/5qwQjkvHdl,06-06-2019 17:55:38
Today we remember those who fell and we honor all who fought here in Normandy. They won back this ground for civilization. To more than 170 Veterans of the Second World War who join us today: You are among the very greatest Americans who will ever live! #DDay75thAnniversary https://t.co/n0uIVHlkRL,06-06-2019 17:36:28
So sorry to hear about the terrible accident involving our GREAT West Point Cadets. We mourn the loss of life and pray for the injured. God Bless them ALL!,06-06-2019 16:36:32
#DDay75thAnniversary https://t.co/0fYfpvUghk,06-06-2019 11:50:25
Heading over to Normandy to celebrate some of the bravest that ever lived. We are eternally grateful! #DDay75thAnniversary #DDay75 https://t.co/rg15c32Gow,06-06-2019 07:38:28
A big and beautiful day today!,06-06-2019 05:57:16
“The President has received glowing reviews from the British Media. Here at home not so much. MSNBC Ramps up hateful coverage and promotes conspiracy theories during Trump’s trip to Europe.”  @seanhannity  The good news is that @maddow is dying in the ratings along with @CNN!,06-06-2019 05:55:49
#DDay75thAnniversary #DDay75 https://t.co/BwfVEt7gTG,06-06-2019 05:40:23
Immigration discussions at the White House with representatives of Mexico have ended for the day. Progress is being made but not nearly enough! Border arrests for May are at 133000 because of Mexico  and  the Democrats in Congress refusing to budge on immigration reform. Further...,06-05-2019 22:42:39
....talks with Mexico will resume tomorrow with the understanding that if no agreement is reached Tariffs at the 5% level will begin on Monday with monthly increases as per schedule. The higher the Tariffs go the higher the number of companies that will move back to the USA!,06-05-2019 22:42:39
As we approach the 75th Anniversary of D-Day we proudly commemorate those heroic and honorable patriots who gave their all for the cause of freedom during some of history’s darkest hours. #DDay75 https://t.co/hjTkdM7VcN,06-05-2019 12:18:50
“House Republicans support the President on Tariffs with Mexico all the way  and  that makes any measure the President takes on the Border totally Veto proof. Why wouldn’t you as Republicans support him when that will allow our President to make a better deal.” Thank you @GOPLeader,06-05-2019 08:20:14
If the totally Corrupt Media was less corrupt I would be up by 15 points in the polls based on our tremendous success with the economy maybe Best Ever! If the Corrupt Media was actually fair I would be up by 25 points. Nevertheless despite the Fake News we’re doing great!,06-05-2019 08:17:07
House Democrats fresh off a Republican victory against them (in Federal Court) on the Wall  keep asking people to come and testify regarding the No Collusion Witch Hunt. They are very unhappy with the Mueller Report especially with his corrective letter  and  now want a Do Over!,06-05-2019 08:12:19
Could not have been treated more warmly in the United Kingdom by the Royal Family or the people. Our relationship has never been better and I see a very big Trade Deal down the road. “This trip has been an incredible success for the President.” @IngrahamAngle,06-05-2019 08:02:27
.@FLOTUS Melania and I send our deepest condolences to President Reuven Rivlin and the entire State of Israel upon the passing of Mrs. Nechama Rivlin. Mrs. Rivlin represented her beloved country with grace and stature. We will miss her along with all those who knew her.,06-05-2019 07:31:34
If the totally Corrupt Media was less corrupt I would be up by 15 points in the polls based on our tremendous success with the economy maybe Best Ever! If the Corrup Media was actually fair I would be up by 25 points. Nevertheless despite the Fake News we’re doing great!,06-05-2019 06:57:58
RT @realDonaldTrump: Just had a big victory in Federal Court over the Democrats in the House on the desperately needed Border Wall. A big s…,06-05-2019 06:46:23
I kept hearing that there would be “massive” rallies against me in the UK but it was quite the opposite. The big crowds which the Corrupt Media hates to show were those that gathered in support of the USA and me. They were big  and  enthusiastic as opposed to the organized flops!,06-05-2019 06:01:19
Plagiarism charge against Sleepy Joe Biden on his ridiculous Climate Change Plan is a big problem but the Corrupt Media will save him. His other problem is that he is drawing flies not people to his Rallies. Nobody is showing up I mean nobody. You can’t win without people!,06-05-2019 05:55:19
#USStateVisit🇺🇸🇬🇧 https://t.co/XKa0iJRQYO,06-05-2019 05:41:54
Washed up psycho @BetteMidler was forced to apologize for a statement she attributed to me that turned out to be totally fabricated by her in order to make “your great president” look really bad. She got caught just like the Fake News Media gets caught. A sick scammer!,06-05-2019 00:30:55
Can you imagine Cryin’ Chuck Schumer saying out loud for all to hear that I am bluffing with respect to putting Tariffs on Mexico. What a Creep. He would rather have our Country fail with drugs  and  Immigration than give Republicans a win. But he gave Mexico bad advice no bluff!,06-05-2019 00:04:58
RT @USAmbUK: President @realdonaldtrump and @FLOTUS welcome The Prince of Wales and The Duchess of Cornwall as they arrive at Winfield Hous…,06-04-2019 22:09:21
RT @RoyalFamily: Tonight The Prince of Wales and The Duchess of Cornwall attended a dinner in London hosted by @POTUS and @FLOTUS on the s…,06-04-2019 22:07:17
Just had a big victory in Federal Court over the Democrats in the House on the desperately needed Border Wall. A big step in the right direction. Wall is under construction!,06-04-2019 18:09:31
Thank you @Theresa_May!🇺🇸🇬🇧 https://t.co/zFJj47UuHO,06-04-2019 14:50:13
https://t.co/tlGGQJahr1,06-04-2019 13:52:02
RT @TheDukeOfYork: 🇬🇧🇺🇸On Day 2 of the #USStateVisit The Duke of York  and  Prime Minister @TheresaMay welcome President Donald Trump @POTUS t…,06-04-2019 12:48:03
#USStateVisit🇺🇸🇬🇧 https://t.co/8eN2bvtLLU,06-04-2019 08:17:46
House just passed the 19.1 Billion Dollar Disaster Aid Bill. Great now we will get it done in the Senate! Farmers Puerto Rico and all will be very happy.,06-03-2019 23:58:38
RT @WhiteHouse: "On behalf of all Americans I offer a toast to the eternal friendship of our people the vitality of our nations and to t…,06-03-2019 22:29:59
RT @WhiteHouse: "This evening we thank God for the brave sons of the United Kingdom and the United States who defeated the Nazis and the…,06-03-2019 22:29:57
RT @WhiteHouse: President @realDonaldTrump and @FLOTUS are guests of Her Majesty Queen Elizabeth II for a State Banquet at Buckingham Palac…,06-03-2019 22:29:44
RT @RoyalFamily: The Prince of Wales The Duchess of Cornwall @ClarenceHouse The Duke and Duchess of Cambridge @KensingtonRoyal The Duke o…,06-03-2019 22:29:19
As a sign of good faith Mexico should immediately stop the flow of people and drugs through their country and to our Southern Border. They can do it if they want!,06-03-2019 18:11:26
Russia has informed us that they have removed most of their people from Venezuela.,06-03-2019 17:44:55
London part of trip is going really well. The Queen and the entire Royal family have been fantastic. The relationship with the United Kingdom is very strong. Tremendous crowds of well wishers and people that love our Country. Haven’t seen any protests yet but I’m sure the....,06-03-2019 17:41:37
....Fake News will be working hard to find them. Great love all around. Also big Trade Deal is possible once U.K. gets rid of the shackles. Already starting to talk!,06-03-2019 17:41:37
RT @RoyalFamily: The Queen President Trump and the First Lady view a display of items from the Royal Collection illustrating the enduring…,06-03-2019 16:42:46
RT @RoyalFamily: The President and The Prince of Wales inspect a Guard of Honour formed by Nijmegen Company Grenadier Guards. #USStateVisi…,06-03-2019 16:42:41
RT @RoyalFamily: The President and Mrs Trump stand with The Queen The Prince of Wales and The Duchess of Cornwall as the US and UK nationa…,06-03-2019 16:42:35
I believe that if people stoped using or subscribing to @ATT they would be forced to make big changes at @CNN which is dying in the ratings anyway. It is so unfair with such bad Fake News! Why wouldn’t they act. When the World watches @CNN it gets a false picture of USA. Sad!,06-03-2019 10:50:33
Just arrived in the United Kingdom. The only problem is that @CNN is the primary source of news available from the U.S. After watching it for a short while I turned it off. All negative  and  so much Fake News very bad for U.S. Big ratings drop. Why doesn’t owner @ATT do something?,06-03-2019 10:37:28
China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking Billions!,06-03-2019 10:07:11
Thank you! 🇺🇸🇬🇧 https://t.co/hm6RXLeWpp,06-03-2019 08:54:30
....Kahn reminds me very much of our very dumb and incompetent Mayor of NYC de Blasio who has also done a terrible job - only half his height. In any event I look forward to being a great friend to the United Kingdom and am looking very much forward to my visit. Landing now!,06-03-2019 07:51:19
.@SadiqKhan who by all accounts has done a terrible job as Mayor of London has been foolishly “nasty” to the visiting President of the United States by far the most important ally of the United Kingdom. He is a stone cold loser who should focus on crime in London not me......,06-03-2019 07:51:18
RT @SteveScalise: Thank you for your leadership on this @realDonaldTrump! It was great to visit the Cameron LNG export facility with you l…,06-03-2019 07:11:19
BIG NEWS! As I promised two weeks ago the first shipment of LNG has just left the Cameron LNG Export Facility in Louisiana. Not only have thousands of JOBS been created in USA we’re shipping freedom and opportunity abroad!,06-03-2019 01:44:41
